file_name,original_size,lzma,bz2,zlib,x264
client_storage/R2017_10_06/M171005_235959.avi,427008,305540,286226,316488,20901
client_storage/R2017_10_06/M171006_000143.avi,465408,349076,331738,357065,25163
client_storage/R2017_10_06/M171006_000147.avi,396800,276412,260447,287351,15573
client_storage/R2017_10_06/M171006_000308.avi,470528,356200,339626,364240,26716
client_storage/R2017_10_06/M171006_000350.avi,461312,339200,321681,349090,27337
client_storage/R2017_10_06/M171006_000543.avi,493056,375820,357845,384366,30857
client_storage/R2017_10_06/M171006_000750.avi,461824,342068,324232,350752,23712
client_storage/R2017_10_06/M171006_001907.avi,461824,343836,327024,353291,29871
client_storage/R2017_10_06/M171006_002008.avi,466944,346680,330156,355661,27631
client_storage/R2017_10_06/M171006_002107.avi,413184,289628,273633,299897,16973
client_storage/R2017_10_06/M171006_002115.avi,444416,323072,308364,331896,21544
client_storage/R2017_10_06/M171006_002120.avi,468480,346332,327846,355529,27430
client_storage/R2017_10_06/M171006_002236.avi,493568,374884,356135,384073,33241
client_storage/R2017_10_06/M171006_002647.avi,418816,288884,272409,299437,17442
client_storage/R2017_10_06/M171006_003014.avi,488448,367788,346283,378287,31280
client_storage/R2017_10_06/M171006_003726.avi,428032,311028,292482,321707,23515
client_storage/R2017_10_06/M171006_003735.avi,469504,353052,335300,362659,30441
client_storage/R2017_10_06/M171006_004145.avi,412160,291692,271453,304104,19423
client_storage/R2017_10_06/M171006_004227.avi,428032,301280,281706,313330,21271
client_storage/R2017_10_06/M171006_004320.avi,472064,358692,340833,367373,28367
client_storage/R2017_10_06/M171006_004326.avi,460288,340388,321518,351055,27262
client_storage/R2017_10_06/M171006_004514.avi,483328,365832,350307,373420,29996
client_storage/R2017_10_06/M171006_004629.avi,461824,342948,324969,352460,28630
client_storage/R2017_10_06/M171006_004712.avi,514560,397332,379089,405694,38417
client_storage/R2017_10_06/M171006_004831.avi,464384,350604,333187,359811,29527
client_storage/R2017_10_06/M171006_004903.avi,424960,300160,283193,310037,19857
client_storage/R2017_10_06/M171006_005231.avi,452096,332312,318913,340009,26506
client_storage/R2017_10_06/M171006_005345.avi,462336,346792,332062,354540,28061
client_storage/R2017_10_06/M171006_005525.avi,446976,323716,305595,333708,22631
client_storage/R2017_10_06/M171006_005635.avi,422912,301296,280996,313613,21100
client_storage/R2017_10_06/M171006_010306.avi,441344,318284,300660,328297,22467
client_storage/R2017_10_06/M171006_010939.avi,413696,291868,272546,302777,19268
client_storage/R2017_10_06/M171006_011332.avi,405504,283932,264541,295209,18217
client_storage/R2017_10_06/M171006_011411.avi,407552,289676,270301,300377,17494
client_storage/R2017_10_06/M171006_011756.avi,417280,300604,282308,311240,18087
client_storage/R2017_10_06/M171006_011959.avi,420864,300928,281632,312381,19729
client_storage/R2017_10_06/M171006_012233.avi,428544,309396,290213,319518,20352
client_storage/R2017_10_06/M171006_012312.avi,473600,357288,340377,365350,28719
client_storage/R2017_10_06/M171006_012526.avi,409088,289576,270221,301220,20097
client_storage/R2017_10_06/M171006_012619.avi,415232,290884,271140,303162,19757
client_storage/R2017_10_06/M171006_013421.avi,446976,325316,306904,335181,24536
client_storage/R2017_10_06/M171006_013602.avi,427008,301572,284859,311693,21602
client_storage/R2017_10_06/M171006_013625.avi,441344,320668,302495,330701,24498
client_storage/R2017_10_06/M171006_013649.avi,509952,395616,376542,403986,34401
client_storage/R2017_10_06/M171006_013713.avi,411648,293216,275420,303818,19917
client_storage/R2017_10_06/M171006_014130.avi,459776,336536,319846,345995,27000
client_storage/R2017_10_06/M171006_014720.avi,414208,296108,278091,306509,18959
client_storage/R2017_10_06/M171006_015838.avi,412160,297100,278455,308514,18309
client_storage/R2017_10_06/M171006_015918.avi,422912,301804,284002,311184,18969
client_storage/R2017_10_06/M171006_020226.avi,494080,381928,363087,390243,33949
client_storage/R2017_10_06/M171006_020345.avi,500736,384876,366645,394212,36288
client_storage/R2017_10_06/M171006_020622.avi,458240,337172,321969,345304,24639
client_storage/R2017_10_06/M171006_020629.avi,452096,331360,315577,340504,27331
client_storage/R2017_10_06/M171006_021032.avi,463872,341260,322056,351472,25846
client_storage/R2017_10_06/M171006_021245.avi,449024,329180,311974,338293,25651
client_storage/R2017_10_06/M171006_021618.avi,468992,351168,335100,359824,30352
client_storage/R2017_10_06/M171006_021930.avi,472576,355088,338322,363606,30172
client_storage/R2017_10_06/M171006_021933.avi,461824,348220,330100,357041,26744
client_storage/R2017_10_06/M171006_022335.avi,408064,289296,269652,301840,18789
client_storage/R2017_10_06/M171006_022612.avi,413184,296044,276535,307592,18728
client_storage/R2017_10_06/M171006_022745.avi,506880,393964,375326,402912,36576
client_storage/R2017_10_06/M171006_022856.avi,445952,331452,313573,341411,26717
client_storage/R2017_10_06/M171006_022941.avi,417280,298388,280011,309309,20038
client_storage/R2017_10_06/M171006_023007.avi,416768,294032,275623,305111,19580
client_storage/R2017_10_06/M171006_023010.avi,410624,289780,271427,301004,18672
client_storage/R2017_10_06/M171006_023218.avi,414720,293956,274267,305033,18681
client_storage/R2017_10_06/M171006_023342.avi,432640,313180,295190,322780,20081
client_storage/R2017_10_06/M171006_023557.avi,470528,351492,335499,359845,30095
client_storage/R2017_10_06/M171006_023648.avi,445952,332564,314011,341949,24207
client_storage/R2017_10_06/M171006_023700.avi,493056,377764,357910,387451,34742
client_storage/R2017_10_06/M171006_023752.avi,441856,324432,307635,334004,23409
client_storage/R2017_10_06/M171006_023801.avi,424960,305236,287120,315407,20243
client_storage/R2017_10_06/M171006_023811.avi,415744,295324,277235,306060,18738
client_storage/R2017_10_06/M171006_023837.avi,425984,300264,281619,311207,20677
client_storage/R2017_10_06/M171006_023854.avi,427520,306216,287229,316895,21419
client_storage/R2017_10_06/M171006_023912.avi,417280,299848,280307,311068,19722
client_storage/R2017_10_06/M171006_024201.avi,416256,292988,272854,305285,17766
client_storage/R2017_10_06/M171006_024204.avi,413696,294500,275242,305494,19580
client_storage/R2017_10_06/M171006_024359.avi,481280,367836,353016,374457,29555
client_storage/R2017_10_06/M171006_024441.avi,412160,293580,274132,304808,19079
client_storage/R2017_10_06/M171006_025328.avi,440832,321684,306336,330145,18255
client_storage/R2017_10_06/M171006_025456.avi,453632,337328,323496,346331,29356
client_storage/R2017_10_06/M171006_025653.avi,474112,356872,339840,365272,24513
client_storage/R2017_10_06/M171006_030152.avi,468480,348244,331075,357341,28476
client_storage/R2017_10_06/M171006_030354.avi,474624,349692,330486,359720,27480
client_storage/R2017_10_06/M171006_030454.avi,466944,345608,327735,354760,29238
client_storage/R2017_10_06/M171006_030535.avi,435712,310984,295477,319632,20178
client_storage/R2017_10_06/M171006_031811.avi,409088,287936,268396,299559,18680
client_storage/R2017_10_06/M171006_031916.avi,425472,304032,283648,315079,20214
client_storage/R2017_10_06/M171006_032400.avi,414720,289776,270692,301119,20367
client_storage/R2017_10_06/M171006_032555.avi,406528,286476,267070,297969,17723
client_storage/R2017_10_06/M171006_032708.avi,457216,338084,321714,347604,27467
client_storage/R2017_10_06/M171006_032828.avi,473088,354368,337040,363677,30015
client_storage/R2017_10_06/M171006_032845.avi,465920,347720,330983,356530,28491
client_storage/R2017_10_06/M171006_032913.avi,476672,355224,336180,364077,30412
client_storage/R2017_10_06/M171006_032930.avi,440832,321056,301459,331274,22701
client_storage/R2017_10_06/M171006_032939.avi,428544,311328,292359,322056,21588
client_storage/R2017_10_06/M171006_032957.avi,462848,349780,332363,358069,26281
client_storage/R2017_10_06/M171006_033011.avi,460288,344256,325216,354306,27897
client_storage/R2017_10_06/M171006_033035.avi,433664,302996,282273,314751,20986
client_storage/R2017_10_06/M171006_033040.avi,411136,282964,268551,292770,17645
client_storage/R2017_10_06/M171006_033210.avi,507904,393444,373969,402225,38069
client_storage/R2017_10_06/M171006_033456.avi,443392,325780,309067,334699,21290
client_storage/R2017_10_06/M171006_033550.avi,477184,361320,347274,370009,32301
client_storage/R2017_10_06/M171006_033626.avi,425472,307140,288308,318009,20953
client_storage/R2017_10_06/M171006_033643.avi,461312,343500,324953,352585,26197
client_storage/R2017_10_06/M171006_033948.avi,476672,358648,344132,365913,28831
client_storage/R2017_10_06/M171006_034029.avi,415232,296268,278545,306240,19337
client_storage/R2017_10_06/M171006_034038.avi,423936,298412,278826,310337,19704
client_storage/R2017_10_06/M171006_034104.avi,417280,293680,274370,304679,19869
client_storage/R2017_10_06/M171006_034431.avi,430592,311156,291168,322103,21169
client_storage/R2017_10_06/M171006_034507.avi,499712,386368,369655,393772,33133
client_storage/R2017_10_06/M171006_034648.avi,436224,313916,292693,325414,21914
client_storage/R2017_10_06/M171006_034805.avi,420352,301464,281583,312647,20761
client_storage/R2017_10_06/M171006_034812.avi,419328,302576,286404,312771,18966
client_storage/R2017_10_06/M171006_034816.avi,459776,340864,325262,349081,21504
client_storage/R2017_10_06/M171006_034913.avi,427008,299404,283546,308939,18240
client_storage/R2017_10_06/M171006_034917.avi,415232,295712,275468,306861,19935
client_storage/R2017_10_06/M171006_035005.avi,435200,312592,293532,323106,21986
client_storage/R2017_10_06/M171006_035042.avi,461824,345052,326803,354281,26428
client_storage/R2017_10_06/M171006_035154.avi,460288,342532,324041,351839,28730
client_storage/R2017_10_06/M171006_035341.avi,473600,359056,347955,367200,25392
client_storage/R2017_10_06/M171006_035437.avi,431616,311188,292283,321625,21597
client_storage/R2017_10_06/M171006_035457.avi,431104,310564,292328,320210,20196
client_storage/R2017_10_06/M171006_035807.avi,477184,358308,340755,366855,30930
client_storage/R2017_10_06/M171006_035815.avi,464896,348888,330378,358781,28959
client_storage/R2017_10_06/M171006_040027.avi,417792,300280,280300,311361,19817
client_storage/R2017_10_06/M171006_040031.avi,480768,365356,349552,373196,31479
client_storage/R2017_10_06/M171006_040036.avi,484864,363580,346620,372055,28156
client_storage/R2017_10_06/M171006_040056.avi,455168,331524,312853,342090,27247
