file_name,original_size,lzma,bz2,zlib,wavelets
..\client_storage\R2017_10_06\M171005_235959.lvm,935166,197220,177867,264831,1270
..\client_storage\R2017_10_06\M171006_000143.lvm,935448,201068,184606,268270,1262
..\client_storage\R2017_10_06\M171006_000147.lvm,932977,198064,160322,256509,1172
..\client_storage\R2017_10_06\M171006_000308.lvm,931470,202508,185035,271096,1110
..\client_storage\R2017_10_06\M171006_000350.lvm,936122,202340,183832,266074,1269
..\client_storage\R2017_10_06\M171006_000543.lvm,930130,200060,179414,266592,1250
..\client_storage\R2017_10_06\M171006_000750.lvm,932169,202476,179890,269133,1170
..\client_storage\R2017_10_06\M171006_001907.lvm,931318,211444,204273,287328,1211
..\client_storage\R2017_10_06\M171006_002008.lvm,925761,199324,176325,270441,1076
..\client_storage\R2017_10_06\M171006_002107.lvm,931769,201524,187834,271417,1133
..\client_storage\R2017_10_06\M171006_002115.lvm,932454,201356,184473,269957,1113
..\client_storage\R2017_10_06\M171006_002120.lvm,930992,200760,177172,264382,958
..\client_storage\R2017_10_06\M171006_002236.lvm,924166,209556,197694,282489,1181
..\client_storage\R2017_10_06\M171006_002647.lvm,937510,198468,178854,265927,1137
..\client_storage\R2017_10_06\M171006_003014.lvm,922088,201064,175114,268623,897
..\client_storage\R2017_10_06\M171006_003726.lvm,934618,202872,179412,267350,1175
..\client_storage\R2017_10_06\M171006_003735.lvm,920792,206936,197652,279175,1056
..\client_storage\R2017_10_06\M171006_004145.lvm,933440,199580,180629,268681,1030
..\client_storage\R2017_10_06\M171006_004227.lvm,933035,196900,177789,265263,920
..\client_storage\R2017_10_06\M171006_004320.lvm,931514,200484,181005,267839,944
..\client_storage\R2017_10_06\M171006_004326.lvm,933130,197792,181207,270400,1217
..\client_storage\R2017_10_06\M171006_004514.lvm,929113,210676,201336,285117,1028
..\client_storage\R2017_10_06\M171006_004629.lvm,922253,207256,196557,277154,940
..\client_storage\R2017_10_06\M171006_004712.lvm,929372,205088,187974,273500,1000
..\client_storage\R2017_10_06\M171006_004831.lvm,938823,201072,179805,265840,931
..\client_storage\R2017_10_06\M171006_004903.lvm,941937,198044,179536,266103,994
..\client_storage\R2017_10_06\M171006_005231.lvm,937277,203092,183296,270243,1084
..\client_storage\R2017_10_06\M171006_005345.lvm,929142,207152,191126,277889,1134
..\client_storage\R2017_10_06\M171006_005525.lvm,937393,201508,176841,264153,920
..\client_storage\R2017_10_06\M171006_005635.lvm,942693,198748,183370,265864,1080
..\client_storage\R2017_10_06\M171006_010306.lvm,943643,197504,179648,267006,1125
..\client_storage\R2017_10_06\M171006_010939.lvm,941085,199356,180791,272292,1015
..\client_storage\R2017_10_06\M171006_011332.lvm,938976,200544,188329,273019,1065
..\client_storage\R2017_10_06\M171006_011411.lvm,935018,198820,181668,269061,1213
..\client_storage\R2017_10_06\M171006_011756.lvm,935777,199804,176123,266411,1122
..\client_storage\R2017_10_06\M171006_011959.lvm,933005,203624,183062,270200,1035
..\client_storage\R2017_10_06\M171006_012233.lvm,932732,200056,172990,263508,1063
..\client_storage\R2017_10_06\M171006_012312.lvm,925658,202244,179518,268454,1100
..\client_storage\R2017_10_06\M171006_012526.lvm,933631,196676,177388,267964,1182
..\client_storage\R2017_10_06\M171006_012619.lvm,933609,199404,186445,270284,1240
..\client_storage\R2017_10_06\M171006_013421.lvm,931272,202584,178062,268215,1093
..\client_storage\R2017_10_06\M171006_013602.lvm,933068,198148,178060,267096,1107
..\client_storage\R2017_10_06\M171006_013625.lvm,933920,199888,173136,264118,1111
..\client_storage\R2017_10_06\M171006_013649.lvm,927893,199992,178194,269462,1251
..\client_storage\R2017_10_06\M171006_013713.lvm,932971,197400,177089,262452,1269
..\client_storage\R2017_10_06\M171006_014130.lvm,932357,200768,177321,263768,1078
..\client_storage\R2017_10_06\M171006_014720.lvm,930365,203668,185062,269938,1220
..\client_storage\R2017_10_06\M171006_015838.lvm,932294,197852,174890,261568,1132
..\client_storage\R2017_10_06\M171006_015918.lvm,930923,200648,176986,267217,1090
..\client_storage\R2017_10_06\M171006_020226.lvm,914875,201096,174533,266139,1111
..\client_storage\R2017_10_06\M171006_020345.lvm,920983,212724,209396,291005,1240
..\client_storage\R2017_10_06\M171006_020622.lvm,929489,211560,208671,285295,1315
..\client_storage\R2017_10_06\M171006_020629.lvm,924618,213032,212350,292373,1318
..\client_storage\R2017_10_06\M171006_021032.lvm,922269,199212,170099,264506,1054
..\client_storage\R2017_10_06\M171006_021245.lvm,919445,200652,180952,270566,1112
..\client_storage\R2017_10_06\M171006_021618.lvm,923637,202408,178171,269694,1137
..\client_storage\R2017_10_06\M171006_021930.lvm,923081,213448,203244,288499,1162
..\client_storage\R2017_10_06\M171006_021933.lvm,924347,200520,182939,270581,1130
..\client_storage\R2017_10_06\M171006_022335.lvm,928911,198308,181210,272216,1123
..\client_storage\R2017_10_06\M171006_022612.lvm,927063,201700,181733,269186,1234
..\client_storage\R2017_10_06\M171006_022745.lvm,923452,207120,190493,275388,1149
..\client_storage\R2017_10_06\M171006_022856.lvm,932022,196040,173463,260014,1041
..\client_storage\R2017_10_06\M171006_022941.lvm,929114,202872,181015,267486,1177
..\client_storage\R2017_10_06\M171006_023007.lvm,928640,201376,180923,267762,1114
..\client_storage\R2017_10_06\M171006_023010.lvm,930360,199020,175594,263572,1117
..\client_storage\R2017_10_06\M171006_023218.lvm,933535,202612,186160,266725,1299
..\client_storage\R2017_10_06\M171006_023342.lvm,928392,202912,178878,270246,1237
..\client_storage\R2017_10_06\M171006_023557.lvm,933180,200232,189378,272784,1252
..\client_storage\R2017_10_06\M171006_023648.lvm,932810,202804,186570,271683,1214
..\client_storage\R2017_10_06\M171006_023700.lvm,927358,206868,193400,275198,1184
..\client_storage\R2017_10_06\M171006_023752.lvm,930592,203556,188633,271680,1262
..\client_storage\R2017_10_06\M171006_023801.lvm,935616,201468,186981,268304,1250
..\client_storage\R2017_10_06\M171006_023811.lvm,929211,202024,186754,267859,1195
..\client_storage\R2017_10_06\M171006_023837.lvm,926585,204160,180497,271289,1240
..\client_storage\R2017_10_06\M171006_023854.lvm,925922,199808,179895,272482,1214
..\client_storage\R2017_10_06\M171006_023912.lvm,928968,200456,177215,265580,1242
..\client_storage\R2017_10_06\M171006_024201.lvm,921936,200540,173841,268859,1160
..\client_storage\R2017_10_06\M171006_024204.lvm,925050,200912,177878,269769,1141
..\client_storage\R2017_10_06\M171006_024359.lvm,921418,218356,224420,300127,1253
..\client_storage\R2017_10_06\M171006_024441.lvm,922607,200380,175366,265833,1096
..\client_storage\R2017_10_06\M171006_025328.lvm,934409,199708,186679,272887,1165
..\client_storage\R2017_10_06\M171006_025456.lvm,920622,210372,203598,284268,1152
..\client_storage\R2017_10_06\M171006_025653.lvm,920939,202172,174683,267814,1148
..\client_storage\R2017_10_06\M171006_030152.lvm,925802,212784,205699,286483,1153
..\client_storage\R2017_10_06\M171006_030354.lvm,933512,197456,180112,267306,1148
..\client_storage\R2017_10_06\M171006_030454.lvm,931513,200212,176621,266698,1234
..\client_storage\R2017_10_06\M171006_030535.lvm,926327,202224,180894,268119,1144
..\client_storage\R2017_10_06\M171006_031811.lvm,934894,196508,182837,267352,1303
..\client_storage\R2017_10_06\M171006_031916.lvm,928356,199532,177987,267886,1120
..\client_storage\R2017_10_06\M171006_032400.lvm,932290,198352,172084,266966,1233
..\client_storage\R2017_10_06\M171006_032555.lvm,928813,199848,177726,265083,1088
..\client_storage\R2017_10_06\M171006_032708.lvm,924774,208064,196353,279136,1139
..\client_storage\R2017_10_06\M171006_032828.lvm,933910,202216,179161,267472,1270
..\client_storage\R2017_10_06\M171006_032845.lvm,927590,211888,198253,288131,1300
..\client_storage\R2017_10_06\M171006_032913.lvm,931079,202836,178536,266882,1126
..\client_storage\R2017_10_06\M171006_032930.lvm,934153,204612,188260,272798,1213
..\client_storage\R2017_10_06\M171006_032939.lvm,935904,196104,172049,262508,1173
..\client_storage\R2017_10_06\M171006_032957.lvm,931406,202912,184792,271892,1193
..\client_storage\R2017_10_06\M171006_033011.lvm,930197,201748,184700,269722,1268
..\client_storage\R2017_10_06\M171006_033035.lvm,932802,198892,174460,263074,1117
..\client_storage\R2017_10_06\M171006_033040.lvm,930905,200796,175816,267065,1232
..\client_storage\R2017_10_06\M171006_033210.lvm,921914,208868,201184,285701,1192
..\client_storage\R2017_10_06\M171006_033456.lvm,930423,199616,174355,265181,985
..\client_storage\R2017_10_06\M171006_033550.lvm,930821,199820,180590,268517,1016
..\client_storage\R2017_10_06\M171006_033626.lvm,932642,200632,180861,266462,1216
..\client_storage\R2017_10_06\M171006_033643.lvm,928692,201288,177263,267985,1109
..\client_storage\R2017_10_06\M171006_033948.lvm,923696,211104,203133,285710,1153
..\client_storage\R2017_10_06\M171006_034029.lvm,931007,199960,181660,266249,1133
..\client_storage\R2017_10_06\M171006_034038.lvm,930258,194820,171159,263173,1034
..\client_storage\R2017_10_06\M171006_034104.lvm,929980,199984,181017,267335,1027
..\client_storage\R2017_10_06\M171006_034431.lvm,932297,199668,186876,266849,1091
..\client_storage\R2017_10_06\M171006_034507.lvm,930147,214276,205921,290344,1070
..\client_storage\R2017_10_06\M171006_034648.lvm,940343,199364,184753,268881,979
..\client_storage\R2017_10_06\M171006_034805.lvm,933001,200968,179319,270249,1058
