file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_054851.lvm,931966,200228,173146,265526,1306
client_storage/R2017_10_06/M171006_065107.lvm,932578,195784,178365,264693,1099
client_storage/R2017_10_06/M171006_084457.lvm,927425,203072,177601,270346,1145
client_storage/R2017_10_06/M171006_065345.lvm,933880,201088,181150,266726,1111
client_storage/R2017_10_06/M171006_074350.lvm,935956,197716,175194,258702,1149
client_storage/R2017_10_06/M171006_081441.lvm,932451,198332,175264,266626,1067
client_storage/R2017_10_06/M171006_084601.lvm,927600,202696,186323,271021,1141
client_storage/R2017_10_06/M171006_023010.lvm,930360,199020,175594,263572,1115
client_storage/R2017_10_06/M171006_051544.lvm,927070,196140,164907,261685,1254
client_storage/R2017_10_06/M171006_051934.lvm,930922,201264,180446,269462,1114
client_storage/R2017_10_06/M171006_050714.lvm,933073,200108,180403,265640,1203
client_storage/R2017_10_06/M171006_054643.lvm,934503,200188,185812,269937,1305
client_storage/R2017_10_06/M171006_072706.lvm,931926,195784,171082,256199,1172
client_storage/R2017_10_06/M171006_063610.lvm,930597,200644,188291,271673,1161
client_storage/R2017_10_06/M171006_090604.lvm,930656,208416,204031,281889,1342
client_storage/R2017_10_06/M171006_075319.lvm,937375,197796,179326,264202,1270
client_storage/R2017_10_06/M171006_062807.lvm,935122,200824,181176,264214,1142
client_storage/R2017_10_06/M171006_074912.lvm,932877,197328,177592,259145,1128
client_storage/R2017_10_06/M171006_024201.lvm,921936,200540,173841,268859,1160
client_storage/R2017_10_06/M171006_055908.lvm,928713,201380,183115,266888,1181
client_storage/R2017_10_06/M171006_053909.lvm,930440,199252,176069,264158,1283
client_storage/R2017_10_06/M171006_075138.lvm,924890,199792,178703,265839,1118
client_storage/R2017_10_06/M171006_051503.lvm,932302,199500,182509,265004,1313
client_storage/R2017_10_06/M171006_034648.lvm,940343,199364,184753,268881,977
client_storage/R2017_10_06/M171006_082856.lvm,927972,217040,215297,296518,1345
